# fb2_session_log
# sections: events | dashboard_snapshots | dash_tiles
# note: main Dash only (hero + tiles + any + extras). Fuel/Trans/etc. not included.

# events
time_ms,category,message
1786800962488,ZONE,stft WARN → GOOD (NORMAL)
1786800965825,ZONE,stft GOOD → WARN (SLIGHT RICH)
1786800966887,ZONE,stft WARN → GOOD (NORMAL)
1786800972566,FUEL,Fuel system CLOSED LOOP → OPEN (DRIVE)
1786800975648,FUEL,Fuel system OPEN (DRIVE) → CLOSED LOOP
1786800978482,GEAR,Estimated gear 5 → 4
1786800985955,GEAR,Estimated gear 4 → 3
1786800995770,GEAR,Estimated gear 3 → 2
1786800998920,GEAR,Estimated gear 2 → 1

# dashboard_snapshots
time_ms,rpm,speed_kmh,coolant1_c,coolant2_c,intake_c,ambient_c,load_pct,throttle_pct,timing,maf_gps,map_kpa,stft_pct,ltft_pct,ecu_v,gear,fuel_loop
1786800663691,729.0,,90.0,,52.0,,,15.686274509803921,1.0,4.39,,,,11.7,,
1786800664788,758.0,2.0,90.0,,52.0,,,15.686274509803921,1.0,4.24,,-2.34375,,11.8,,
1786800665906,745.0,2.0,90.0,,52.0,,45.490196078431374,15.294117647058824,2.5,4.12,,-2.34375,,11.7,,
1786800667342,749.0,2.0,90.0,,,,45.490196078431374,15.294117647058824,2.5,3.68,44.0,-3.125,,11.7,,CLOSED LOOP
1786800668439,736.0,2.0,90.0,,52.0,,44.705882352941174,,2.5,3.68,44.0,-3.125,,11.7,,CLOSED LOOP
1786800669639,743.0,3.0,90.0,,52.0,,44.705882352941174,,2.5,4.12,43.0,-4.6875,,11.8,,CLOSED LOOP
1786800670810,1192.0,3.0,91.0,,53.0,,44.705882352941174,19.607843137254903,25.5,12.45,43.0,-4.6875,,11.8,,CLOSED LOOP
1786800672803,2109.0,,91.0,,53.0,,44.705882352941174,19.607843137254903,24.0,14.97,,-4.6875,,11.8,,CLOSED LOOP
1786800673836,1663.0,,91.0,,53.0,,44.705882352941174,22.745098039215687,24.0,16.53,81.0,-4.6875,,11.8,,CLOSED LOOP
1786800675164,1706.0,28.0,91.0,,53.0,,44.705882352941174,23.137254901960784,24.0,17.22,81.0,-4.6875,,11.8,2,CLOSED LOOP
1786800676280,1952.0,33.0,91.0,,53.0,,44.705882352941174,23.137254901960784,24.0,19.32,81.0,-4.6875,,11.8,2,CLOSED LOOP
1786800677484,1694.0,33.0,91.0,,52.0,,44.705882352941174,22.745098039215687,24.0,17.02,,-4.6875,,11.8,2,CLOSED LOOP
1786800678586,1711.0,40.0,91.0,,52.0,,44.705882352941174,22.745098039215687,24.0,16.82,81.0,-4.6875,,11.8,3,CLOSED LOOP
1786800679850,1807.0,40.0,91.0,,52.0,,44.705882352941174,23.137254901960784,24.0,16.82,81.0,-4.6875,,11.8,3,CLOSED LOOP
1786800680939,1886.0,46.0,91.0,,51.0,,44.705882352941174,23.137254901960784,24.0,18.3,77.0,-4.6875,,11.8,3,CLOSED LOOP
1786800682195,1973.0,49.0,91.0,,51.0,,44.705882352941174,22.745098039215687,24.0,16.43,82.0,-4.6875,,11.8,3,CLOSED LOOP
1786800684260,1404.0,52.0,91.0,,51.0,,44.705882352941174,22.745098039215687,24.0,13.03,27.0,-4.6875,,11.8,4,CLOSED LOOP
1786800686493,1500.0,50.0,92.0,,50.0,,44.705882352941174,,24.0,6.46,33.0,-4.6875,,11.8,4,CLOSED LOOP
1786800687852,1497.0,50.0,92.0,,51.0,,44.705882352941174,,24.0,7.47,45.0,-4.6875,,11.8,4,OPEN LOOP
1786800688992,1307.0,50.0,92.0,,51.0,,44.705882352941174,,24.0,4.55,28.0,-4.6875,,11.8,4,CLOSED LOOP
1786800690031,1361.0,50.0,92.0,,51.0,,44.705882352941174,,24.0,4.55,30.0,-4.6875,,11.8,4,CLOSED LOOP
1786800691925,936.0,48.0,92.0,,51.0,,44.705882352941174,,24.0,3.14,26.0,-4.6875,,11.8,5,OPEN (DRIVE)
1786800692945,1432.0,48.0,92.0,,51.0,,44.705882352941174,,24.0,3.14,60.0,-4.6875,,11.8,4,CLOSED LOOP
1786800693969,1537.0,48.0,92.0,,51.0,,44.705882352941174,,24.0,3.14,68.0,-4.6875,,11.8,4,CLOSED LOOP
1786800695886,1486.0,51.0,92.0,,51.0,,44.705882352941174,,24.0,11.95,66.0,-4.6875,,11.8,4,CLOSED LOOP
