# fb2_session_log
# sections: events | dashboard_snapshots | dash_tiles
# note: main Dash only (hero + tiles + any + extras). Fuel/Trans/etc. not included.

# events
time_ms,category,message
1786973668766,DTC,DTC present: 1 code(s)
1786973672524,ELM,ELM Connected (ELM327 (Bluetooth))
1786973677631,ZONE,battery ELEVATED → CRITICAL (FLAT)
1786973727936,ZONE,maf CRITICAL → GOOD (CRUISE OK)
1786973729132,ENGINE,Engine Start
1786973729132,ZONE,maf GOOD → WARN (LOW)
1786973729132,CHARGE,Charging problem began (ALT WEAK)
1786973730340,ZONE,maf WARN → GOOD (IDLE OK)
1786973730340,CHARGE,Charging problem ended
1786973731229,ZONE,battery CRITICAL → GOOD (ELD IDLE)
1786973732521,ZONE,map GOOD → WARN (HIGH IDLE)
1786973733599,ZONE,map WARN → GOOD (CRUISE)
1786973754352,ZONE,map GOOD → WARN (HIGH IDLE)
1786973755375,ZONE,battery GOOD → WARN (LOW CHARGE)
1786973756389,ZONE,battery WARN → GOOD (ELD IDLE)
1786973756390,ZONE,map WARN → GOOD (IDLE)
1786973759238,ZONE,battery GOOD → WARN (ELD LOW)
1786973792125,ZONE,stft GOOD → WARN (SLIGHT LEAN)
1786973793380,ZONE,battery WARN → ELEVATED (WEAK CHARGE)
1786973793381,CHARGE,Charging problem began (WEAK CHARGE)
1786973794356,ZONE,stft WARN → ELEVATED (LEAN)
1786973799994,ZONE,stft ELEVATED → CRITICAL (BAD LEAN)
1786973833409,FUEL,Fuel system OPEN LOOP → CLOSED LOOP
1786973856918,ZONE,ltft WARN → CRITICAL (BAD LEAN)
1786973867058,ZONE,coolant COLD → GOOD (NORMAL)
1786973869948,ZONE,coolant GOOD → COLD (COLD)
1786973874322,ZONE,coolant COLD → GOOD (NORMAL)
1786973908679,CHARGE,Charging problem ended
1786973915357,ZONE,stft CRITICAL → WARN (SLIGHT LEAN)
1786973916398,ZONE,stft WARN → ELEVATED (LEAN)
1786973947845,DTC,DTCs cleared
1786973954657,ZONE,stft ELEVATED → CRITICAL (BAD LEAN)

# dashboard_snapshots
time_ms,rpm,speed_kmh,coolant1_c,coolant2_c,intake_c,ambient_c,load_pct,throttle_pct,timing,maf_gps,map_kpa,stft_pct,ltft_pct,ecu_v,gear,fuel_loop
1786973804497,1199.75,0.0,54.0,,37.0,,29.019607843137255,18.823529411764707,5.0,2.43,,20.3125,9.375,12.4,,OPEN LOOP
1786973805918,1239.0,0.0,54.0,,37.0,,29.80392156862745,18.823529411764707,6.0,2.38,,20.3125,9.375,12.4,,OPEN LOOP
1786973807282,1253.0,0.0,54.0,,37.0,,29.80392156862745,18.823529411764707,6.0,2.36,,20.3125,9.375,12.4,,OPEN LOOP
1786973808701,1275.0,0.0,54.0,,37.0,,29.80392156862745,19.607843137254903,6.0,2.3,,20.3125,9.375,12.4,,OPEN LOOP
1786973810090,1275.0,0.0,54.0,,37.0,,29.41176470588235,19.607843137254903,2.0,2.38,,20.3125,9.375,12.4,,OPEN LOOP
1786973811731,1260.0,0.0,54.0,,37.0,,29.41176470588235,,2.0,2.36,,20.3125,9.375,12.4,,OPEN LOOP
1786973813051,1263.25,0.0,54.0,,37.0,,29.41176470588235,18.823529411764707,3.5,2.44,,17.1875,9.375,12.4,,OPEN LOOP
1786973814418,1265.25,0.0,55.0,,37.0,,29.80392156862745,18.823529411764707,4.0,2.44,,17.1875,9.375,12.4,,OPEN LOOP
1786973815522,1250.75,0.0,54.0,,37.0,,29.80392156862745,18.823529411764707,4.0,2.42,,17.1875,9.375,12.4,,OPEN LOOP
1786973816523,1271.25,0.0,54.0,,37.0,,29.80392156862745,18.823529411764707,4.0,2.45,,17.1875,9.375,12.4,,OPEN LOOP
1786973817559,1267.0,0.0,54.0,,37.0,,30.19607843137255,18.823529411764707,3.0,2.51,,17.1875,9.375,12.4,,OPEN LOOP
1786973818576,1271.0,0.0,54.0,,37.0,,30.19607843137255,18.823529411764707,3.0,2.49,,17.1875,9.375,12.4,,OPEN LOOP
1786973820006,1279.5,0.0,54.0,,37.0,,30.19607843137255,18.823529411764707,3.0,2.44,,17.1875,9.375,12.68,,OPEN LOOP
1786973821054,1264.5,0.0,54.0,,37.0,,29.80392156862745,18.823529411764707,3.5,2.44,,17.1875,9.375,12.4,,OPEN LOOP
1786973822139,1259.5,0.0,54.0,,37.0,,29.80392156862745,18.823529411764707,3.0,2.46,,17.1875,9.375,12.4,,OPEN LOOP
1786973823238,1273.25,0.0,54.0,,37.0,,29.41176470588235,18.823529411764707,3.0,2.4,,17.1875,9.375,12.4,,OPEN LOOP
1786973824364,1267.25,0.0,54.0,,37.0,,29.019607843137255,18.823529411764707,3.0,2.4,,17.1875,9.375,12.4,,OPEN LOOP
1786973825676,1255.75,0.0,55.0,,37.0,,29.019607843137255,18.823529411764707,3.0,2.38,,17.1875,9.375,12.4,,OPEN LOOP
1786973826970,1245.25,0.0,55.0,,37.0,,28.627450980392158,18.823529411764707,3.0,2.38,,17.1875,9.375,12.4,,OPEN LOOP
1786973828425,1246.75,0.0,56.0,,37.0,,28.627450980392158,18.823529411764707,3.5,2.38,,17.1875,9.375,12.4,,OPEN LOOP
1786973829453,1248.75,0.0,55.0,,37.0,,29.41176470588235,18.823529411764707,3.5,2.32,,17.1875,9.375,12.4,,OPEN LOOP
1786973830629,1246.0,0.0,55.0,,37.0,,29.80392156862745,18.823529411764707,2.5,2.32,,17.1875,9.375,12.4,,OPEN LOOP
1786973831917,1243.25,0.0,55.0,,37.0,,29.80392156862745,18.823529411764707,4.5,2.36,,17.1875,9.375,12.4,,OPEN LOOP
1786973833408,1241.5,0.0,56.0,,37.0,,29.80392156862745,18.823529411764707,4.5,2.36,,17.1875,9.375,12.4,,CLOSED LOOP
1786973834606,1240.0,0.0,56.0,,37.0,,29.80392156862745,18.823529411764707,2.5,2.3,,17.1875,9.375,12.4,,CLOSED LOOP
1786973835773,1240.0,0.0,56.0,,37.0,,29.80392156862745,18.823529411764707,5.0,2.3,,17.1875,9.375,12.4,,CLOSED LOOP
1786973836984,1241.75,0.0,56.0,,37.0,,29.80392156862745,18.823529411764707,5.0,2.33,,17.1875,9.375,12.4,,CLOSED LOOP
1786973838104,1226.0,0.0,56.0,,37.0,,29.80392156862745,18.823529411764707,2.5,2.28,,17.1875,9.375,12.4,,CLOSED LOOP
1786973839222,1226.0,0.0,57.0,,37.0,,29.80392156862745,18.431372549019606,3.0,2.29,,17.1875,9.375,12.4,,CLOSED LOOP
1786973840565,1232.75,0.0,57.0,,37.0,,29.80392156862745,18.431372549019606,4.5,2.29,,17.1875,9.375,12.4,,CLOSED LOOP
1786973842155,1238.75,0.0,57.0,,37.0,,29.80392156862745,18.431372549019606,5.5,2.29,,17.1875,9.375,12.4,,CLOSED LOOP
1786973843186,1238.75,,57.0,,37.0,,29.80392156862745,18.431372549019606,5.5,2.24,,17.1875,9.375,12.4,,CLOSED LOOP
1786973844219,1216.25,0.0,57.0,,37.0,,29.80392156862745,18.431372549019606,5.5,2.3,,17.1875,9.375,12.4,,CLOSED LOOP
